controller,method,annotation
admin,index,AdminUtilitiesAccess
admin,restartAppServiceForm,ApplicationRestart
admin,restartAppServiceAction,ApplicationRestart
admin,orphanSummary,AdminUtilitiesAccess
admin,orphanDetails,AdminUtilitiesAccess
admin,processOldData,AdminUtilitiesAccess
admin,retrieveBatchRecords,AdminUtilitiesAccess
admin,retrieveAssetTypes,AdminUtilitiesAccess
admin,cleanAssetTypes,AdminUtilitiesAccess
admin,exportAccounts,PersonExport
admin,exportAccountsProcess,PersonExport
admin,importAccountsTemplate,PersonExport
admin,importAccountsReviewData,PersonImport
admin,importAccountsPostResultsData,PersonImport
admin,importAccounts,UserImport
admin,cancelImport,PersonImport
admin,projectReport,AdminUtilitiesAccess
admin,projectSummaryReport,AdminUtilitiesAccess
admin,countAssetsOutOfSync,AdminUtilitiesAccess
admin,reconcileAssetTypes,AdminUtilitiesAccess
admin,encryptValue,AdminUtilitiesAccess
admin,systemInfo,AdminUtilitiesAccess
admin,home,AdminUtilitiesAccess
app,index,
app,angular,
application,list,AssetView
application,listJson,AssetView
application,columnAssetPref,AssetView
application,create,AssetCreate
application,show,AssetView
application,edit,AssetEdit
application,save,AssetCreate
application,update,AssetEdit
application,delete,AssetDelete
application,deleteBulkAsset,AssetDelete
assetEntity,filter,AssetView
assetEntity,assetImport,AssetImport
assetEntity,assetExport,AssetExport
assetEntity,exportAssets,AssetExport
assetEntity,upload,AssetImport
assetEntity,export,AssetExport
assetEntity,downloadExport,AssetExport
assetEntity,list,AssetView
assetEntity,listJson,AssetView
assetEntity,delete,AssetDelete
assetEntity,remove,AssetDelete
assetEntity,editShow,AssetEdit
assetEntity,retrieveAttributes,AssetView
assetEntity,retrieveAssetAttributes,AssetView
assetEntity,retrieveAutoCompleteDate,AssetEdit
assetEntity,listComments,CommentView
assetEntity,showComment,CommentView
assetEntity,saveComment,CommentCreate
assetEntity,updateComment,CommentEdit
assetEntity,deleteComment,CommentDelete
assetEntity,retrieveFlag,WorkflowView
assetEntity,retrieveStates,WorkflowView
assetEntity,retrieveProgress,AssetImport
assetEntity,create,AssetCreate
assetEntity,edit,AssetEdit
assetEntity,save,AssetCreate
assetEntity,update,AssetEdit
assetEntity,show,AssetView
assetEntity,retrieveManufacturersList,ManufacturerView
assetEntity,setShowAllPreference,UserGeneralAccess
assetEntity,setViewUnpublishedPreference,UserGeneralAccess,TaskPublish
assetEntity,retrieveModelsList,ModelView
assetEntity,listTasks,TaskManagerView
assetEntity,listComment,CommentView
assetEntity,listCommentJson,CommentView
assetEntity,listTaskJSON,TaskManagerView
assetEntity,assetOptions,AdminUtilitiesAccess
assetEntity,saveAssetoptions,AdminUtilitiesAccess
assetEntity,deleteAssetOptions,AdminUtilitiesAccess
assetEntity,assetSummary,AssetView
assetEntity,retrieveLists,DepAnalyzerView
assetEntity,removeUserGraphPrefs,UserGeneralAccess
assetEntity,deleteBulkAsset,AssetDelete
assetEntity,retrieveWorkflowTransition,WorkflowView
assetEntity,updateAssignedToSelect,ProjectStaffShow
assetEntity,isAllowToChangeStatus,UserGeneralAccess
assetEntity,updateStatusSelect,CommentVew
assetEntity,predecessorTableHtml,TaskView
assetEntity,generateDepSelect,TaskEdit
assetEntity,successorTableHtml,TaskView
assetEntity,predecessorSelectHtml,TaskView
assetEntity,tasksSearch,TaskView
assetEntity,taskSearchMap,TaskView
assetEntity,exportSpecialReport,AssetExport
assetEntity,retrieveAssetModelType,ModelView
assetEntity,populateDependency,AssetEdit
assetEntity,assetSelectDataByClass,AssetView
assetEntity,retrieveAssetImportance,AssetView
assetEntity,retrieveHighlightCssMap,AssetView
assetEntity,setImportPerferences,AssetImport
assetEntity,listDependencies,AssetView
assetEntity,listDepJson,AssetView
assetEntity,retrieveChangedBundle,BundleView
assetEntity,retrieveRackSelectForRoom,RackLayoutModify
assetEntity,retrieveChassisSelectForRoom,RackLayoutModify
assetEntity,retrieveAssetsByType,AssetView
assetEntity,assetsByClass,AssetView
assetEntity,assetClasses,AssetView
assetEntity,classForAsset,AssetView
assetEntity,poiDemo,AssetExport
assetEntity,exportPoiDemo,AssetExport
assetEntity,assetListForSelect2,AssetView
assetEntity,modelsOf,ModelView
assetEntity,manufacturer,ManufacturerView
