"domain","field","label","type","control","show","order"
"device","id","Id","int","Number","false",0
"device","application","Application","String","autocomplete","false",-1
"device","appOwner","AppOwner","String","Person","false",-1
"device","appSme","SME","String","Person","false",-1
"device","assetName","Name","String","String","true",1
"device","assetTag","Asset Tag","String","String","true",8
"device","assetType","Device Type","String","select","true",3
"device","cart","Cart","String","String","true",28
"device","description","Description","String","String","true",2
"device","environment","Environment","String","String","true",21
"device","externalRefId","External Ref Id","String","String","true",10
"device","ipAddress","IP Address","String","String","true",23
"device","lastUpdated","Modified Date","String","Date","false",99
"device","maintExpDate","Maint Expiration","String","Date","true",26
"device","manufacturer","Manufacturer","String","String","true",4
"device","model","Model","String","String","true",5
"device","modifiedBy","Modified By","String","String","false",-1
"device","moveBundle","Bundle","String","String","true",50
"device","os","OS","String","String","true",24
"device","planStatus","Plan Status","String","select","true",51
"device","priority","Priority","int","select","true",22
"device","railType","Rail Type","String","select","true",9
"device","rateOfChange","Rate Of Change","int","Number","true",55
"device","retireDate","Retire Date","String","Date","true",26
"device","scale","Scale","String","String","true",54
"device","serialNumber","Serial #","String","String","true",7
"device","shelf","Shelf","String","String","true",29
"device","shortName","Alternate Name","String","String","true",6
"device","size","Size","int","Number","true",53
"device","sourceBladePosition","Source Blade Position","int","Number","true",41
"device","sourceChassis","Source Chassis","String","Chassis.S","true",40
"device","sourceLocation","Source Location","String","Location.S","true",31
"device","sourceRack","Source Rack","String","Rack.S","true",33
"device","sourceRackPosition","Source Position","int","Number","true",34
"device","sourceRoom","Source Room","String","Room.S","true",32
"device","supportType","SupportType","String","String","true",25
"device","targetBladePosition","Target Blade Position","int","Number","true",43
"device","targetChassis","Target Chassis","String","Chassis.T","true",42
"device","targetLocation","Target Location","String","Location.T","true",36
"device","targetRack","Target Rack","String","Rack.T","true",38
"device","targetRackPosition","Target Position","int","Number","true",39
"device","targetRoom","Target Room","String","Room.T","true",37
"device","truck","Truck","String","String","true",27
"device","usize","Usize","String","String","false",-1
"device","validation","Validation","String","String","true",52
"device","virtualHost","VirtualHost","String","String","false",-1
"device","custom1","Plan Strategy","String","List","true",1000
"device","custom2","Contains PCI","String","YesNo","true",102
"device","custom3","Contains HIPPA","String","YesNo","true",103
"device","custom4","Load Balanced","String","YesNo","true",104
"device","custom5","VIP IP","String","String","true",105
"device","custom6","Tier Level","String","String","true",106
"device","custom7","DNS Change Required","String","YesNo","true",107
"device","custom8","Wave","String","String","true",108
"device","custom9","Transfer Time","String","String","true",109
"application","id","Id","int","Number","false",0
"application","appAccess","Access Type","String","String","false",-1
"application","appFunction","Function","String","String","true",31
"application","appOwner","App Owner","String","Person","true",24
"application","appSource","Source","String","String","true",7
"application","appTech","Technology","String","String","true",6
"application","appVendor","Vendor","String","String","true",4
"application","appVersion","Version","String","String","true",5
"application","assetName","Name","String","String","true",1
"application","businessUnit","Business Unit","String","String","true",25
"application","criticality","Criticality","String","String","true",33
"application","description","Description","String","String","true",2
"application","drRpoDesc","DR RPO","String","String","true",44
"application","drRtoDesc","DR RTO","String","String","true",45
"application","environment","Environment","String","String","true",32
"application","externalRefId","External Ref Id","String","String","true",28
"application","lastUpdated","Modified Date","String","String","false",99
"application","latency","Latency OK","String","YesNo","true",37
"application","license","License","String","String","true",8
"application","maintExpDate","Maint Expiration","String","Date","true",27
"application","modifiedBy","Modified By","String","String","false",-1
"application","moveBundle","Bundle","String","String","true",34
"application","moveDowntimeTolerance","Downtime Tolerance","String","String","false",-1
"application","planStatus","Plan Status","String","String","true",35
"application","retireDate","Retire Date","String","Date","true",26
"application","shutdownBy","Shutdown By","String","String","true",50
"application","shutdownDuration","Shutdown Duration","int","Number","true",51
"application","shutdownFixed","Shutdown Fixed","int","Number","true",52
"application","sme","SME1","String","Person","true",22
"application","sme2","SME2","String","Person","true",23
"application","startupBy","Startup By","String","String","true",53
"application","startupDuration","Startup Duration","int","Number","true",54
"application","startupFixed","Startup Fixed","int","Number","true",55
"application","startupProc","Startup Proc OK","String","YesNo","true",47
"application","supportType","Support","String","String","true",21
"application","testingBy","Testing By","String","String","true",56
"application","testingDuration","Testing Duration","int","Number","true",57
"application","testingFixed","Testing Fixed","int","Number","true",58
"application","testProc","Test Proc OK","String","YesNo","true",46
"application","url","URL","String","String","true",9
"application","useFrequency","Use Frequency","String","String","true",43
"application","userCount","User Count","String","String","true",41
"application","userLocations","User Locations","String","String","true",42
"application","validation","Validation","String","String","true",36
"application","custom1","Plan Strategy","String","List","true",101
"application","custom2","Contains PCI","String","YesNo","true",102
