"domain","field","label","type","control"
"device","application","Application","String","autocomplete"
"device","appOwner","AppOwner","String","autocomplete"
"device","appSme","SME","String","autocomplete"
"device","assetName","Asset Name","String","text"
"device","assetTag","Asset Tag","String","text"
"device","assetType","Asset Type","String","select"
"device","cart","Cart","String","text"
"device","custom1","Custom1","String","text"
"device","custom10","Custom10","String","text"
"device","custom11","Custom11","String","text"
"device","custom12","Custom12","String","text"
"device","custom13","Custom13","String","text"
"device","custom14","Custom14","String","text"
"device","custom15","Custom15","String","text"
"device","custom16","Custom16","String","text"
"device","custom17","Custom17","String","text"
"device","custom18","Custom18","String","text"
"device","custom19","Custom19","String","text"
"device","custom2","Custom2","String","text"
"device","custom20","Custom20","String","text"
"device","custom21","Custom21","String","text"
"device","custom22","Custom22","String","text"
"device","custom23","Custom23","String","text"
"device","custom24","Custom24","String","text"
"device","custom25","Custom25","String","text"
"device","custom26","Custom26","String","text"
"device","custom27","Custom27","String","text"
"device","custom28","Custom28","String","text"
"device","custom29","Custom29","String","text"
"device","custom3","Custom3","String","text"
"device","custom30","Custom30","String","text"
"device","custom31","Custom31","String","text"
"device","custom32","Custom32","String","text"
"device","custom33","Custom33","String","text"
"device","custom34","Custom34","String","text"
"device","custom35","Custom35","String","text"
"device","custom36","Custom36","String","text"
"device","custom37","Custom37","String","text"
"device","custom38","Custom38","String","text"
"device","custom39","Custom39","String","text"
"device","custom4","Custom4","String","text"
"device","custom40","Custom40","String","text"
"device","custom41","Custom41","String","text"
"device","custom42","Custom42","String","text"
"device","custom43","Custom43","String","text"
"device","custom44","Custom44","String","text"
"device","custom45","Custom45","String","text"
"device","custom46","Custom46","String","text"
"device","custom47","Custom47","String","text"
"device","custom48","Custom48","String","text"
"device","custom49","Custom49","String","text"
"device","custom5","Custom5","String","text"
"device","custom50","Custom50","String","text"
"device","custom51","Custom51","String","text"
"device","custom52","Custom52","String","text"
"device","custom53","Custom53","String","text"
"device","custom54","Custom54","String","text"
"device","custom55","Custom55","String","text"
"device","custom56","Custom56","String","text"
